manufacturercode,retailercode,classoftradecode,sectorcode,mediacode,mediasourcecode,categorycode,segementcode,couponexpirationdate,redemptioncity,redemptionstate,redemptionzip,redemptioncouponcount,couponfacevalue,retailereow,yyyyqqretailereow,yyyywwretailereow,facevaluerangecode,facevalueperunitrangecode,couponbuycount,couponbuydescription,couponfreecount,couponfreedescription,paperless,tms_load,createtimestamp,yyyymmretailereow
704,4234,4,7,999999999,9999,6,2,2014-04-30 05:00:00,Allentown,PA,181040000,2,3.00,2014-04-12 05:00:00,201402,201415,4,4,1,"Clairol Age Defy, Nice'n Easy Foam or Perfect 10 Hair Color",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,112,8,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,0.20,2014-04-05 05:00:00,201402,201414,1,1,1,"Crest Toothpaste, Crest Rinse or Oral-B Glide Floss 35 M or Glide Floss Picks 30",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,112,8,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,0.20,2014-04-05 05:00:00,201402,201414,1,1,1,"Crest Toothpaste, Crest Rinse or Oral-B Glide Floss 35 M or Glide Floss Picks 30",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,112,8,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,0.20,2014-04-12 05:00:00,201402,201415,1,1,1,"Crest Toothpaste, Crest Rinse or Oral-B Glide Floss 35 M or Glide Floss Picks 30",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,112,8,2,2014-04-30 05:00:00,Allentown,PA,181040000,5,0.20,2014-04-12 05:00:00,201402,201415,1,1,1,"Crest Toothpaste, Crest Rinse or Oral-B Glide Floss 35 M or Glide Floss Picks 30",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,112,20,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,0.20,2014-04-12 05:00:00,201402,201415,1,1,1,Bounty Towels or Napkins,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,112,20,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,0.20,2014-04-05 05:00:00,201402,201414,1,1,1,Bounty Towels or Napkins,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,9999,8,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,2.00,2014-04-12 05:00:00,201402,201415,4,2,3,"Crest Toothpastes, Crest Rinses or Oral-B Glide Flosses or Glide Floss Picks",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,9999,8,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,2.00,2014-04-12 05:00:00,201402,201415,4,2,3,"Crest Toothpastes, Crest Rinses or Oral-B Glide Flosses or Glide Floss Picks",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,9999,8,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,2.00,2014-04-05 05:00:00,201402,201414,4,2,3,"Crest Toothpastes, Crest Rinses or Oral-B Glide Flosses or Glide Floss Picks",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-01 06:00:00,Allentown,PA,181040000,1,0.25,2014-04-05 05:00:00,201402,201414,1,1,1,Dawn Ultra,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-01 06:00:00,Allentown,PA,181040000,1,0.25,2014-04-05 05:00:00,201402,201414,1,1,1,Dawn Ultra,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,9999,9,2,2014-06-30 05:00:00,Allentown,PA,181040000,1,1.00,2014-04-05 05:00:00,201402,201414,3,3,1,Swiffer Refill,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,112,12,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,0.20,2014-04-05 05:00:00,201402,201414,1,1,1,"Tide Detergent, Tide OXI, Downy or Bounce",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,9999,12,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,1.50,2014-04-05 05:00:00,201402,201414,4,2,2,"Tide Free Detergents, Tide boost Free, Downy Free, or Bounce Free",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,5,999999999,1308,12,2,2013-12-07 06:00:00,Allentown,PA,181040000,1,0.50,2014-04-05 05:00:00,201402,201414,2,2,1,"Dawn Hand Renewal, Power Cean Bleach Alternative or Oxi",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,9999,6,2,2014-12-31 06:00:00,Allentown,PA,181040000,1,1.00,2014-04-05 05:00:00,201402,201414,3,3,1,Pantene Product,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,112,6,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,2.00,2014-04-05 05:00:00,201402,201414,4,4,1,"Old Spice Shampoo, Conditioner or Styling",0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,9999,2,2,2014-03-31 05:00:00,Allentown,PA,181040000,1,1.00,2014-04-05 05:00:00,201402,201414,3,3,1,COVERGIRL,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,9999,8,2,2014-06-30 05:00:00,Allentown,PA,181040000,2,0.50,2014-04-12 05:00:00,201402,201415,2,2,1,Crest Toothpaste or liquid gel,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,112,98,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,2.00,2014-04-05 05:00:00,201402,201414,4,4,1,Olay Total Effects Facial Moisturizer,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
704,4234,4,7,999999999,9999,6,2,2014-04-30 05:00:00,Allentown,PA,181040000,1,1.50,2014-04-12 05:00:00,201402,201415,4,2,2,Pantene Products,0,,0,2015-03-19 09:11:38.090000000,2017-05-09 00:55:12.206000000,201404
