manufacturercode,manufacturername,sectorcode,sectorname,mediacode,medianame,categorycode,categoryname,segmentcode,segmentname,recordcount,percent,yyyyqqretailereow
9999999999,ALL,2,Dry Grocery,202,FSI,5,Milk,1,Food,1057,0.00001549,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,5,Eggs,1,Food,335,0.00000491,201601
9999999999,ALL,2,Dry Grocery,202,FSI,9,"Crackers, Cookies & Snack Bars",1,Food,1445,0.00002118,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,21,Toys,1,Food,288,0.00000422,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Desserts,1,Food,763,0.00001118,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,2,Cheese,1,Food,16,0.00000023,201601
9999999999,ALL,2,Dry Grocery,202,FSI,7,"Hand Cleanser, Bath Soap & Body Wash",1,Food,17,0.00000025,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,23,Vegetables - Canned & Dried,1,Food,709,0.00001039,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,7,Foil/Plastic Wrap & Bags/Plastic Containers,1,Food,481,0.00000705,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,10,Ready to Eat Fruits & Salads,1,Food,2,0.00000003,201601
9999999999,ALL,2,Dry Grocery,202,FSI,8,Greeting Cards/Pre-Paid Gift Cards,1,Food,4936,0.00007234,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,53,0.00000078,201601
9999999999,ALL,2,Dry Grocery,202,FSI,7,Heat & Eat Prepared Foods,1,Food,4052,0.00005938,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,7,Yogurt - Shakes & Drinks,1,Food,215,0.00000315,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,3,Deodorant,1,Food,16,0.00000023,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,9,Sanitary Protection & Feminine Hygiene,1,Food,15,0.00000022,201601
9999999999,ALL,2,Dry Grocery,202,FSI,1,Baby Hygiene,1,Food,53,0.00000078,201601
9999999999,ALL,2,Dry Grocery,9999,Unknown,4,"Charcoal, Logs & Accessories",1,Food,437,0.00000640,201601
9999999999,ALL,2,Dry Grocery,1360,Print At Home,4,Breakfast Foods - Shelf Stable,1,Food,12,0.00000018,201601
